,아파트,금액(만원)Incheon_abc_BP2301_84.csv,면적Incheon_abc_BP2301_84.csv,층Incheon_abc_BP2301_84.csv,주소Incheon_abc_BP2301_84.csv,금액(만원)Incheon_abc_BP2312_84.csv,면적Incheon_abc_BP2312_84.csv,층Incheon_abc_BP2312_84.csv,주소Incheon_abc_BP2312_84.csv
0,경남1차,31100,84.43,3,산곡동 142-3,31900,84.43,6,산곡동 142-3
1,경남1차,31100,84.43,3,산곡동 142-3,32000,84.43,9,산곡동 142-3
2,경남3차,29200,84.87,10,산곡동 145,29500,84.87,13,산곡동 145
3,경남3차,29200,84.87,10,산곡동 145,31500,84.87,12,산곡동 145
4,경남3차,28900,84.87,11,산곡동 145,29500,84.87,13,산곡동 145
5,경남3차,28900,84.87,11,산곡동 145,31500,84.87,12,산곡동 145
6,경남5차,25000,84.97,6,산곡동 261-8,24500,84.97,2,산곡동 261-8
7,경남5차,25000,84.97,6,산곡동 261-8,28250,84.97,17,산곡동 261-8
8,경남5차,25000,84.97,6,산곡동 261-8,31000,84.97,9,산곡동 261-8
9,금호이수마운트밸리,38000,84.96,2,산곡동 507,50000,84.96,10,산곡동 507
10,금호이수마운트밸리,38000,84.96,2,산곡동 507,55900,84.96,7,산곡동 507
11,금호이수마운트밸리,38000,84.96,2,산곡동 507,53000,84.96,10,산곡동 507
12,금호이수마운트밸리,52500,84.96,10,산곡동 507,50000,84.96,10,산곡동 507
13,금호이수마운트밸리,52500,84.96,10,산곡동 507,55900,84.96,7,산곡동 507
14,금호이수마운트밸리,52500,84.96,10,산곡동 507,53000,84.96,10,산곡동 507
15,대동(494-1),33800,84.94,4,부개동 494-1,37000,84.94,11,부개동 494-1
16,대동(494-1),33800,84.94,4,부개동 494-1,37000,84.94,4,부개동 494-1
17,대동(494-1),33800,84.94,4,부개동 494-1,37000,84.94,3,부개동 494-1
18,대동(494-1),33800,84.94,4,부개동 494-1,37000,84.94,13,부개동 494-1
19,대동(494-1),30500,84.94,12,부개동 494-1,37000,84.94,11,부개동 494-1
20,대동(494-1),30500,84.94,12,부개동 494-1,37000,84.94,4,부개동 494-1
21,대동(494-1),30500,84.94,12,부개동 494-1,37000,84.94,3,부개동 494-1
22,대동(494-1),30500,84.94,12,부개동 494-1,37000,84.94,13,부개동 494-1
23,대동(494-1),33000,84.94,15,부개동 494-1,37000,84.94,11,부개동 494-1
24,대동(494-1),33000,84.94,15,부개동 494-1,37000,84.94,4,부개동 494-1
25,대동(494-1),33000,84.94,15,부개동 494-1,37000,84.94,3,부개동 494-1
26,대동(494-1),33000,84.94,15,부개동 494-1,37000,84.94,13,부개동 494-1
27,대동(494-1),34000,84.94,12,부개동 494-1,37000,84.94,11,부개동 494-1
28,대동(494-1),34000,84.94,12,부개동 494-1,37000,84.94,4,부개동 494-1
29,대동(494-1),34000,84.94,12,부개동 494-1,37000,84.94,3,부개동 494-1
30,대동(494-1),34000,84.94,12,부개동 494-1,37000,84.94,13,부개동 494-1
31,동암신동아,30000,84.94,6,십정동 607,34000,84.94,13,십정동 607
32,동암신동아,30000,84.94,6,십정동 607,32200,84.94,2,십정동 607
33,동암신동아,30000,84.94,6,십정동 607,33000,84.94,5,십정동 607
34,동암신동아,30000,84.94,6,십정동 607,34000,84.94,8,십정동 607
35,동암신동아,30000,84.94,6,십정동 607,34000,84.94,19,십정동 607
36,동암신동아,30000,84.94,6,십정동 607,34500,84.94,3,십정동 607
37,동암신동아,30000,84.94,6,십정동 607,34900,84.94,10,십정동 607
38,동암신동아,30000,84.94,6,십정동 607,35600,84.94,10,십정동 607
39,래미안부평,59900,84.96,7,부평동 947,63000,84.96,12,부평동 947
40,래미안부평,50000,84.96,5,부평동 947,63000,84.96,12,부평동 947
41,부개주공6,49500,84.79,11,부개동 501-1,48800,84.79,9,부개동 501-1
42,부개주공6,49500,84.79,11,부개동 501-1,48000,84.79,14,부개동 501-1
43,부개주공6,49500,84.79,11,부개동 501-1,44000,84.79,14,부개동 501-1
44,부개주공6,38500,84.79,4,부개동 501-1,48800,84.79,9,부개동 501-1
45,부개주공6,38500,84.79,4,부개동 501-1,48000,84.79,14,부개동 501-1
46,부개주공6,38500,84.79,4,부개동 501-1,44000,84.79,14,부개동 501-1
47,"부평1,2차금호타운",40500,84.85,5,청천동 200,38900,84.85,9,청천동 200
48,"부평1,2차금호타운",40500,84.85,5,청천동 200,45000,84.85,15,청천동 200
49,"부평1,2차금호타운",40500,84.85,5,청천동 200,43500,84.85,9,청천동 200
50,"부평1,2차금호타운",40500,84.85,5,청천동 200,41200,84.85,4,청천동 200
51,"부평1,2차금호타운",40500,84.85,5,청천동 200,41500,84.85,10,청천동 200
52,"부평1,2차금호타운",40000,84.85,6,청천동 200,38900,84.85,9,청천동 200
53,"부평1,2차금호타운",40000,84.85,6,청천동 200,45000,84.85,15,청천동 200
54,"부평1,2차금호타운",40000,84.85,6,청천동 200,43500,84.85,9,청천동 200
55,"부평1,2차금호타운",40000,84.85,6,청천동 200,41200,84.85,4,청천동 200
56,"부평1,2차금호타운",40000,84.85,6,청천동 200,41500,84.85,10,청천동 200
57,부평산곡푸르지오,58000,84.36,11,산곡동 510,59500,84.36,6,산곡동 510
58,부평산곡푸르지오,58000,84.36,11,산곡동 510,60000,84.37,18,산곡동 510
