,아파트,금액(만원),면적,층,주소
0,신성미소지움3단지,104000,139.67,23,삼산동 448-1
1,서해그랑블5단지,83800,118.13,10,삼산동 454-4
2,래미안부평,75000,114.99,11,부평동 947
3,동아(1차),72300,122.65,13,부평동 70-5
4,동아(1차),72300,122.65,13,부평동 70-5
5,삼산타운7단지,64500,84.96,12,삼산동 453-1
6,삼산타운6단지,64500,84.07,10,삼산동 454-13
7,"푸른마을한신,삼부",63900,134.96,10,부개동 499-2
8,래미안부평,63000,84.96,12,부평동 947
9,삼산타운7단지,61000,84.07,5,삼산동 453-1
10,삼산타운7단지,61000,84.96,3,삼산동 453-1
11,부평신일해피트리더루츠,60500,84.99,15,산곡동 180-78
12,부평산곡푸르지오,59500,84.36,6,산곡동 510
13,삼산타운2단지,57400,84.96,13,삼산동 445-5
14,부평코오롱하늘채,57000,72.92,7,부개동 520
15,부개역코오롱하늘채,57000,74.44,19,부개동 525
16,"푸른마을한신,삼부",56000,99.94,4,부개동 499-2
17,금호이수마운트밸리,55900,84.96,7,산곡동 507
18,더샵부평센트럴시티,55000,69.28,45,십정동 630
19,더샵부평센트럴시티,55000,69.28,45,십정동 630
20,삼산타운2단지,53500,84.98,10,삼산동 445-5
21,금호이수마운트밸리,53000,84.96,10,산곡동 507
22,부평IPARK,52000,69.28,8,산곡동 91-2
23,삼산타운2단지,51500,84.98,19,삼산동 445-5
24,삼산타운2단지,51000,84.98,4,삼산동 445-5
25,서해그랑블,51000,84.98,16,삼산동 513
26,부평IPARK,51000,69.94,7,산곡동 91-2
27,금호이수마운트밸리,50000,84.96,10,산곡동 507
28,삼산타운2단지,49500,84.98,22,삼산동 445-5
29,부평코오롱하늘채,49000,59.84,22,부개동 520
30,부개역코오롱하늘채,49000,59.9,13,부개동 525
31,한화2단지,48000,134.79,3,산곡동 124-23
32,청천푸르지오,47700,133.71,10,청천동 176
33,부평지웰에스테이트,46800,74.97,11,갈산동 171
34,부평신일해피트리더루츠,46000,59.9,12,산곡동 180-78
35,부평금호어울림,45500,112.98,13,십정동 609
36,부평역화성파크드림,45500,59.93,11,부평동 995
37,동아(1차),45000,76.74,12,부평동 70-5
38,래미안부평,45000,59.92,23,부평동 947
39,서해그랑블,44500,84.98,18,삼산동 513
40,더샵부평센트럴시티,44500,59.8,23,십정동 630
41,e편한세상부평역어반루체,42700,59.99,3,부개동 531
42,삼산타운주공1단지,42000,59.99,7,삼산동 440-1
43,서희스타힐스부평센트럴,41800,66.31,11,십정동 629
44,한국1,41700,122.23,11,부평동 65-124
45,삼산타운주공1단지,40000,59.99,6,삼산동 440-1
46,부평샬레아넬리스,40000,84.88,2,산곡동 518
47,부평자이,39800,84.75,14,구산동 360
48,서희스타힐스부평센트럴,39800,66.31,21,십정동 629
49,서희스타힐스부평센트럴,39300,66.31,17,십정동 629
50,한신휴,38900,84.98,20,산곡동 222
51,부평금호어울림,37500,84.79,6,십정동 609
52,대동(494-1),37000,84.94,4,부개동 494-1
53,대동(494-1),37000,84.94,3,부개동 494-1
54,금호이수마운트밸리,36500,59.82,7,산곡동 507
55,동아(2차),36500,59.82,12,부평동 70-123
56,풍림아파트(101동~110동),36500,84.98,15,일신동 409
57,부평지웰에스테이트,36500,59.99,7,갈산동 171
58,우성3차(294-35),36000,84.97,8,산곡동 294-35
59,현대3차,36000,84.94,12,산곡동 370-399
60,부평지웰에스테이트,35800,59.99,3,갈산동 171
61,서희스타힐스부평센트럴,35700,59.94,8,십정동 629
62,동아(2차),35500,59.82,15,부평동 70-123
63,동아(2차),35500,59.82,4,부평동 70-123
64,동아(2차),34800,59.82,13,부평동 70-123
65,대우,34500,59.93,4,갈산동 159
66,삼산타운주공1단지,34500,51.86,5,삼산동 440-1
67,부평LH2단지,34500,59.96,5,부평동 938
68,청천푸르지오,34400,84.34,12,청천동 176
69,동암신동아,34000,84.94,13,십정동 607
70,동암신동아,34000,84.94,19,십정동 607
71,동아(1차),33900,52.43,12,부평동 70-5
72,삼산타운주공1단지,33800,51.86,16,삼산동 440-1
73,풍림아파트(101동~110동),33800,84.98,16,일신동 409
74,하나,33500,84.75,5,갈산동 362
75,하나,33000,84.75,1,갈산동 362
76,대우,33000,59.93,12,갈산동 159
77,주공5,33000,59.99,16,부개동 500-1
78,하나,32700,84.75,3,갈산동 362
79,주공5,32500,59.99,11,부개동 500-1
80,대동2,32500,84.6,17,갈산동 361-3
81,청천푸르지오,32500,84.34,2,청천동 176
82,주공5,32500,59.99,11,부개동 500-1
83,부개주공1,32400,59.97,15,부개동 496-2
84,우성3차(294-35),32000,84.97,3,산곡동 294-35
85,동아(1차),32000,52.43,2,부평동 70-5
86,현대2차,32000,72.54,4,산곡동 311-126
87,경남1차,31900,84.43,6,산곡동 142-3
88,한화2단지,31500,59.88,11,산곡동 124-23
89,부개주공1,31500,59.56,8,부개동 496-2
90,"부평1,2차금호타운",31500,59.8,12,청천동 200
91,부개주공1,31000,59.98,3,부개동 496-2
92,현대1차,31000,72.48,7,산곡동 307
93,청천푸르지오,30500,59.36,16,청천동 176
94,부개주공1,30500,59.97,8,부개동 496-2
95,"부평1,2차금호타운",30000,59.8,12,청천동 200
96,"부평1,2차금호타운",30000,59.8,7,청천동 200
97,현대(124-1),30000,84.99,3,산곡동 124-1
98,한화2단지,29900,59.88,17,산곡동 124-23
99,주공5,29500,59.99,12,부개동 500-1
100,부평SKVIEW해모로,29500,36.1,12,부평동 962
101,대우,29500,59.93,2,갈산동 159
102,부개주공1,29500,49.96,8,부개동 496-2
103,"부평1,2차금호타운",29400,59.8,14,청천동 200
104,"부평1,2차금호타운",29400,59.8,14,청천동 200
105,수암,29100,44.82,5,산곡동 43-1
106,부개주공3,29000,59.56,10,부개동 498-5
107,부개주공3,29000,59.56,16,부개동 498-5
108,경남4차,29000,84.87,1,산곡동 274-5
109,"부평1,2차금호타운",29000,59.8,21,청천동 200
110,한화2단지,28900,59.88,3,산곡동 124-23
111,청천푸르지오,28600,59.36,13,청천동 176
