,아파트,금액(만원),면적,층,주소
0,인천SKSkyVIEW,50000,85.0,24,용현동 664
1,인천SKSkyVIEW,50000,85.0,23,용현동 664
2,더샵인천스카이타워1단지,50000,84.94,47,도화동 1011
3,월드스테이트(201~205),50000,126.92,22,주안동 1614
4,삼환1(관교삼환나우빌),50000,156.27,10,관교동 13-6
5,더샵인천스카이타워1단지,49800,84.98,28,도화동 1011
6,더샵인천스카이타워2단지,49500,84.94,23,도화동 1002
7,인천SKSkyVIEW,49500,85.0,31,용현동 664
8,인천SKSkyVIEW,48700,85.0,17,용현동 664
9,인천SKSkyVIEW,48500,85.0,5,용현동 664
10,인천SKSkyVIEW,48000,85.0,8,용현동 664
11,"월드스테이트(101~111,124~132)",46500,126.92,8,주안동 1614
12,엘에이치미추홀퍼스트,46000,84.73,18,용현동 지구BL2
13,"월드스테이트(101~111,124~132)",45000,126.92,24,주안동 1614
14,더샵인천스카이타워1단지,43500,74.96,35,도화동 1011
15,더샵인천스카이타워1단지,43000,74.96,43,도화동 1011
16,더샵인천스카이타워1단지,43000,74.96,43,도화동 1011
17,더샵인천스카이타워1단지,43000,84.94,2,도화동 1011
18,동아풍림,42500,123.51,11,학익동 719
19,"월드스테이트(101~111,124~132)",41000,84.98,28,주안동 1614
20,더샵인천스카이타워2단지,41000,74.96,24,도화동 1002
21,더샵인천스카이타워1단지,40700,74.96,10,도화동 1011
22,동아풍림,40500,123.51,8,학익동 719
23,인천SKSkyVIEW,40500,59.99,5,용현동 664
24,엘에이치미추홀퍼스트,40000,84.73,22,용현동 지구BL2
25,엘에이치미추홀퍼스트,40000,84.73,22,용현동 지구BL2
26,성지,40000,84.94,1,관교동 13-9
27,풍림아이원,40000,84.94,18,학익동 721
28,인천SKSkyVIEW,39500,59.99,4,용현동 664
29,인천SKSkyVIEW,38500,59.99,21,용현동 664
30,더샵인천스카이타워1단지,38500,74.96,3,도화동 1011
31,월드스테이트(112~123),38500,84.99,12,주안동 1614
32,그레이스타워,37700,53.04,13,주안동 86-27
33,도화역금강펜테리움센트럴파크,37000,74.35,10,도화동 987
34,월드스테이트(112~123),37000,84.98,9,주안동 1614
35,주안역센트레빌,36000,59.97,16,주안동 1628
36,관교한신휴플러스,36000,84.75,2,주안동 1621
37,성원상떼빌,36000,84.93,5,용현동 649
38,엘에이치미추홀퍼스트,35500,74.9,21,용현동 지구BL2
39,동아풍림,35500,84.36,17,학익동 719
40,현대,35000,84.33,9,주안동 80
41,인천SKSkyVIEW,35000,60.0,2,용현동 664
42,인천SKSkyVIEW,35000,60.0,3,용현동 664
43,동부(관교동부),34900,84.88,2,관교동 13-11
44,엘에이치미추홀퍼스트,34800,74.9,2,용현동 지구BL2
45,동아풍림,34000,84.36,8,학익동 719
