,아파트,금액(만원),면적,층,주소
87,경남1차,31900,84.43,6,산곡동 142-3
375,경남1차,32000,84.43,9,산곡동 142-3
448,경남2차,27000,84.43,1,산곡동 274
411,경남2차,30000,84.43,1,산곡동 274
399,경남2차,30700,84.43,12,산곡동 274
415,경남3차,29500,84.87,13,산곡동 145
387,경남3차,31500,84.87,12,산곡동 145
108,경남4차,29000,84.87,1,산곡동 274-5
338,경남4차,34800,84.87,9,산곡동 274-5
147,경남5차,24500,84.97,2,산곡동 261-8
117,경남5차,28250,84.97,17,산곡동 261-8
392,경남5차,31000,84.97,9,산곡동 261-8
27,금호이수마운트밸리,50000,84.96,10,산곡동 507
17,금호이수마운트밸리,55900,84.96,7,산곡동 507
21,금호이수마운트밸리,53000,84.96,10,산곡동 507
126,뉴서울(264-1),27400,84.89,13,산곡동 264-1
458,뉴서울(264-1),25500,84.89,8,산곡동 264-1
125,뉴서울(264-1),27400,84.89,13,산곡동 264-1
466,뉴서울아파트,25000,84.81,4,산곡동 255-1
143,뉴서울아파트,25000,84.81,9,산곡동 255-1
130,뉴서울아파트,26900,84.81,15,산곡동 255-1
310,대동(494-1),37000,84.94,11,부개동 494-1
52,대동(494-1),37000,84.94,4,부개동 494-1
53,대동(494-1),37000,84.94,3,부개동 494-1
312,대동(494-1),37000,84.94,13,부개동 494-1
380,대동2,31900,84.6,18,갈산동 361-3
80,대동2,32500,84.6,17,갈산동 361-3
393,대동2,31000,84.6,14,갈산동 361-3
305,동남,38000,84.51,10,갈산동 362
328,동남,35500,84.75,3,갈산동 362
315,동남,36700,84.51,6,갈산동 362
351,동남,34000,84.51,8,갈산동 362
241,동아(1차),52000,84.87,6,부평동 70-5
246,동아(1차),50000,84.87,2,부평동 70-5
69,동암신동아,34000,84.94,13,십정동 607
371,동암신동아,32200,84.94,2,십정동 607
364,동암신동아,33000,84.94,5,십정동 607
349,동암신동아,34000,84.94,8,십정동 607
70,동암신동아,34000,84.94,19,십정동 607
346,동암신동아,34500,84.94,3,십정동 607
337,동암신동아,34900,84.94,10,십정동 607
325,동암신동아,35600,84.94,10,십정동 607
8,래미안부평,63000,84.96,12,부평동 947
343,미가로,34600,84.99,5,청천동 199-24
233,부개역푸르지오,55200,84.98,19,부개동 512
240,부개역푸르지오,53600,84.98,2,부개동 512
225,부개역푸르지오,60000,84.98,10,부개동 512
252,부개주공6,48800,84.79,9,부개동 501-1
256,부개주공6,48000,84.79,14,부개동 501-1
276,부개주공6,44000,84.79,14,부개동 501-1
297,"부평1,2차금호타운",38900,84.85,9,청천동 200
273,"부평1,2차금호타운",45000,84.85,15,청천동 200
278,"부평1,2차금호타운",43500,84.85,9,청천동 200
285,"부평1,2차금호타운",41200,84.85,4,청천동 200
283,"부평1,2차금호타운",41500,84.85,10,청천동 200
51,부평금호어울림,37500,84.79,6,십정동 609
300,부평금호어울림,38500,84.79,13,십정동 609
229,부평두산위브더파크,57000,84.93,12,산곡동 534
12,부평산곡푸르지오,59500,84.36,6,산곡동 510
224,부평산곡푸르지오,60000,84.37,18,산곡동 510
46,부평샬레아넬리스,40000,84.88,2,산곡동 518
