,아파트,금액(만원),면적,층,주소
166,TS굿모닝,30000,84.27,13,도화동 108-1
85,TS굿모닝,19500,84.27,10,도화동 108-1
461,간석래미안자이,56000,84.98,22,간석동 939-1
262,간석한신더휴,46000,84.88,10,간석동 616-6
36,관교한신휴플러스,36000,84.75,2,주안동 1621
246,구월아시아드선수촌센트럴자이,50000,84.94,12,구월동 1510
470,구월유승한내들퍼스티지,50000,84.35,9,구월동 1508
250,구월유승한내들퍼스티지,49000,84.35,16,구월동 1508
252,구월유승한내들퍼스티지,48500,84.35,12,구월동 1508
296,구월힐스테이트1단지,41600,84.81,7,구월동 23
545,구월힐스테이트1단지,35500,84.81,3,구월동 23
495,구월힐스테이트1단지,43000,84.81,26,구월동 23
492,구월힐스테이트1단지,43500,84.81,19,구월동 23
480,구월힐스테이트1단지,47200,84.81,21,구월동 23
298,구월힐스테이트3단지,41200,84.81,18,구월동 20
70,극동,25000,84.84,2,숭의동 84-1
169,금호타운,29300,84.29,10,용현동 627-40
91,남송,18000,84.84,9,주안동 56-13
393,남촌풍림2차,28800,84.84,9,남촌동 391-3
258,논현파크포레,47000,84.88,22,논현동 580-1
345,논현파크포레,36000,84.94,10,논현동 580-1
553,논현파크포레,35000,84.88,2,논현동 580-1
327,논현파크포레,38000,84.94,6,논현동 580-1
309,논현파크포레,40000,84.93,14,논현동 580-1
178,대림,26000,84.92,4,용현동 627-79
389,대성유니드별빛마을,29500,84.35,1,만수동 844-1
136,더샵인천스카이타워1단지,47000,84.94,10,도화동 1011
2,더샵인천스카이타워1단지,50000,84.94,47,도화동 1011
5,더샵인천스카이타워1단지,49800,84.98,28,도화동 1011
17,더샵인천스카이타워1단지,43000,84.94,2,도화동 1011
6,더샵인천스카이타워2단지,49500,84.94,23,도화동 1002
58,도화동신동아파밀리에,30000,84.69,1,도화동 982
43,동부(관교동부),34900,84.88,2,관교동 13-11
61,동아,29000,84.95,13,도화동 601-1
48,동아풍림,32500,84.36,14,학익동 719
39,동아풍림,35500,84.36,17,학익동 719
45,동아풍림,34000,84.36,8,학익동 719
290,롯데캐슬골드,42000,84.81,4,구월동 24
291,롯데캐슬골드,42000,84.81,14,구월동 24
363,벽산,33900,84.93,21,만수동 1114
383,벽산,30000,84.93,18,만수동 1114
584,벽산,25000,84.93,1,만수동 1114
579,벽산,28000,84.93,3,만수동 1114
388,벽산,29800,84.93,8,만수동 1114
351,서창센트라스아파트,35000,84.88,6,서창동 692
349,서창센트라스아파트,35500,84.92,8,서창동 692
269,서창센트럴푸르지오,44900,84.98,10,서창동 682
271,서창센트럴푸르지오,44500,84.98,14,서창동 682
496,서창센트럴푸르지오,43000,84.98,17,서창동 682
292,서창센트럴푸르지오,42000,84.98,2,서창동 682
276,서창센트럴푸르지오,43500,84.98,11,서창동 682
288,서창자이,42000,84.8,22,서창동 561-1
357,서창퍼스트뷰(7단지),34500,84.28,9,서창동 699
337,서창퍼스트뷰(7단지),36000,84.95,4,서창동 699
560,서창퍼스트뷰(7단지),33800,84.72,14,서창동 699
544,서창퍼스트뷰(7단지),35500,84.41,12,서창동 699
555,서해그랑블,34500,84.75,12,서창동 540
37,성원상떼빌,36000,84.93,5,용현동 649
26,성지,40000,84.94,1,관교동 13-9
160,성지,33000,84.94,5,관교동 13-9
143,스타디움센트럴시티,40000,84.92,19,숭의동 462
401,신동아,27000,84.91,4,만수동 5-426
580,신동아,27500,84.91,9,만수동 5-426
69,신동아2,25200,84.91,8,학익동 125-1
71,신동아3,25000,84.91,5,학익동 48-14
167,신동아3,30000,84.91,9,학익동 48-14
176,신동아6,26700,84.91,12,학익동 41-3
177,신동아7,26100,84.95,5,학익동 645
68,신동아8,25200,84.96,3,학익동 50
64,신동아8,26400,84.96,15,학익동 50
172,신동아8,28000,84.96,14,학익동 50
232,신영구월지웰시티푸르지오,55000,84.92,40,구월동 1608
467,신영구월지웰시티푸르지오,52500,84.92,38,구월동 1608
465,신영구월지웰시티푸르지오,53900,84.91,34,구월동 1608
297,신영구월지웰시티푸르지오,41500,84.92,11,구월동 1608
324,어울림마을,38000,84.96,23,간석동 938-1
335,어울림마을,36500,84.96,8,간석동 938-1
278,어울림마을,43000,84.96,5,간석동 938-1
536,어울림마을,37000,84.96,9,간석동 938-1
331,어울림마을,37000,84.96,9,간석동 938-1
307,에코메트로11,40000,84.99,25,논현동 774-1
512,에코메트로11,41500,84.99,17,논현동 774-1
483,에코메트로11,46500,84.99,11,논현동 774-1
488,에코메트로11,45000,84.99,25,논현동 774-1
283,에코메트로11,42300,84.99,5,논현동 774-1
513,에코메트로11,41000,84.99,15,논현동 774-1
275,에코메트로11,43900,84.99,18,논현동 774-1
498,에코메트로12,43000,84.99,27,논현동 755-4
484,에코메트로12,46000,84.99,10,논현동 755-4
476,에코메트로5,49000,84.95,13,논현동 755-1
239,에코메트로5,52000,84.99,36,논현동 755-1
238,에코메트로5,52000,84.99,36,논현동 755-1
240,에코메트로5,51100,84.95,24,논현동 755-1
242,에코메트로5,51000,84.95,11,논현동 755-1
482,에코메트로6,46800,84.95,8,논현동 756-1
493,에코메트로6,43500,84.99,27,논현동 756-1
494,에코메트로6,43200,84.99,12,논현동 756-1
257,에코메트로6,47300,84.95,17,논현동 756-1
501,에코메트로6,42500,84.99,8,논현동 756-1
280,에코메트로6,43000,84.95,33,논현동 756-1
502,에코메트로6,42500,84.99,8,논현동 756-1
277,에코메트로6,43500,84.99,29,논현동 756-1
273,에코메트로6,44000,84.99,13,논현동 756-1
282,에코메트로6,42500,84.99,5,논현동 756-1
300,에코메트로6,41000,84.99,30,논현동 756-1
508,에코메트로6,42000,84.99,13,논현동 756-1
294,에코메트로7,41900,84.95,13,논현동 757-1
487,에코메트로7,45000,84.99,26,논현동 757-1
272,에코메트로7,44000,84.99,23,논현동 757-1
284,에코메트로7,42200,84.99,12,논현동 757-1
267,에코메트로7,45000,84.95,24,논현동 757-1
264,에코메트로7,45800,84.99,21,논현동 757-1
