,0,1,2,3,4,5
0,남산롯데캐슬센트럴스카이,91000,101.52,6,남산동 3020,위치보기
1,센트로팰리스,90000,179.46,16,대봉동 60-10,위치보기
2,남산롯데캐슬센트럴스카이,90000,101.52,13,남산동 3020,위치보기
3,남산롯데캐슬센트럴스카이,76000,84.94,26,남산동 3020,위치보기
4,남산롯데캐슬센트럴스카이,75000,84.94,28,남산동 3020,위치보기
5,남산롯데캐슬센트럴스카이,70500,84.95,11,남산동 3020,위치보기
6,남산롯데캐슬센트럴스카이,69750,84.95,6,남산동 3020,위치보기
7,남산롯데캐슬센트럴스카이,69500,84.94,10,남산동 3020,위치보기
8,센트로팰리스,63000,141.47,11,대봉동 60-10,위치보기
9,센트로팰리스,62000,153.04,9,대봉동 60-10,위치보기
10,더샵리비테르2차,60000,84.36,9,대봉동 760,위치보기
11,더샵리비테르1차,60000,84.58,22,대봉동 770,위치보기
12,남산e편한세상,60000,84.86,24,남산동 150-2,위치보기
13,청라언덕역서한포레스트,58000,84.85,33,동산동 916,위치보기
14,청라언덕역서한포레스트,56000,84.99,15,동산동 916,위치보기
15,대신센트럴자이,52800,84.84,22,대신동 2106,위치보기
16,대신센트럴자이,52000,84.84,16,대신동 2106,위치보기
17,삼덕청아람,51000,84.61,21,삼덕동3가 383,위치보기
18,남산롯데캐슬센트럴스카이,51000,59.88,12,남산동 3020,위치보기
19,남산롯데캐슬센트럴스카이,51000,59.88,12,남산동 3020,위치보기
20,더샵리비테르2차,50800,74.54,20,대봉동 760,위치보기
21,더샵리비테르2차,50000,74.54,15,대봉동 760,위치보기
22,더샵리비테르1차,50000,74.22,9,대봉동 770,위치보기
23,더샵리비테르1차,50000,74.22,9,대봉동 770,위치보기
24,센트로팰리스,49800,80.74,13,대봉동 60-10,위치보기
25,남산롯데캐슬센트럴스카이,49000,59.88,17,남산동 3020,위치보기
26,대구역센트럴자이,47000,84.64,28,수창동 173,위치보기
27,반월당효성해링턴플레이스,46800,84.97,24,남산동 3006,위치보기
28,달성파크푸르지오힐스테이트,46500,74.99,10,달성동 352,위치보기
29,극동스타클래스남산,46000,84.98,18,남산동 3000,위치보기
30,남산역화성파크드림,45500,84.21,10,남산동 3012,위치보기
31,엑소디움센트럴동인,45000,74.92,12,동인동3가 88,위치보기
32,대구역센트럴자이,45000,84.64,9,수창동 173,위치보기
33,대구역센트럴자이,45000,84.64,9,수창동 173,위치보기
34,극동스타클래스남산,44000,84.83,16,남산동 3000,위치보기
35,남산자이하늘채,44000,59.2,13,남산동 3030,위치보기
36,남산e편한세상,44000,59.99,7,남산동 150-2,위치보기
37,e편한세상대신,43990,59.98,16,대신동 2110,위치보기
38,e편한세상대신,43500,59.98,27,대신동 2110,위치보기
39,극동스타클래스남산,43200,84.98,5,남산동 3000,위치보기
40,e편한세상대신,43000,59.98,21,대신동 2110,위치보기
41,대구역센트럴자이,42500,84.64,4,수창동 173,위치보기
42,대신센트럴자이,42500,59.94,29,대신동 2106,위치보기
43,태왕아너스스카이,42200,84.93,15,대신동 305-1,위치보기
44,더샵리비테르1차,41100,59.89,8,대봉동 770,위치보기
45,대봉태왕아너스,41000,77.98,16,대봉동 758,위치보기
46,대봉태왕아너스,41000,77.98,16,대봉동 758,위치보기
47,e편한세상대신,40500,59.98,8,대신동 2110,위치보기
48,남산그린타운,40000,110.07,9,남산동 2937-1,위치보기
49,극동스타클래스남산,38900,78.86,5,남산동 3000,위치보기
50,남산그린타운,38500,84.96,11,남산동 2937-1,위치보기
51,남산역화성파크드림,37700,59.2,12,남산동 3012,위치보기
52,봉산뜨란채,36800,84.6,12,봉산동 110,위치보기
53,보성황실타운,36000,119.84,23,남산동 2466-1,위치보기
54,남산역화성파크드림,35900,59.2,13,남산동 3012,위치보기
55,삼덕청아람,35500,59.99,5,삼덕동3가 383,위치보기
56,청라센트럴파크,35400,76.99,5,남산동 2991,위치보기
57,남산역화성파크드림,35000,59.2,7,남산동 3012,위치보기
58,남산그린타운,34700,84.96,16,남산동 2937-1,위치보기
59,삼덕청아람,33500,59.99,2,삼덕동3가 383,위치보기
60,보성황실타운,33300,84.98,12,남산동 2466-1,위치보기
61,남산그린타운,32500,69.24,22,남산동 2937-1,위치보기
62,대봉화성파크드림,30500,84.05,6,대봉동 152-24,위치보기
63,남산그린타운,28500,53.41,18,남산동 2937-1,위치보기
64,삼덕청아람,26000,39.65,7,삼덕동3가 383,위치보기
65,삼덕청아람,26000,39.65,6,삼덕동3가 383,위치보기
66,송림맨션,24500,84.96,19,남산동 2434,위치보기
67,동서,23000,83.06,5,대신동 1450,위치보기
68,보성황실타운,22700,59.96,11,남산동 2466-1,위치보기
69,까치,19500,59.66,9,남산동 2482-1,
