,아파트,금액(만원)Incheon_abc_MC2301_84.csv,면적Incheon_abc_MC2301_84.csv,층Incheon_abc_MC2301_84.csv,주소Incheon_abc_MC2301_84.csv,금액(만원)Incheon_abc_MC2312_84.csv,면적Incheon_abc_MC2312_84.csv,층Incheon_abc_MC2312_84.csv,주소Incheon_abc_MC2312_84.csv
0,간석래미안자이,56000,84.98,22,간석동 939-1,50000,84.98,13,간석동 939-1
1,간석래미안자이,56000,84.98,22,간석동 939-1,50000,84.97,10,간석동 939-1
2,간석래미안자이,56000,84.98,22,간석동 939-1,50500,84.97,6,간석동 939-1
3,간석래미안자이,56000,84.98,22,간석동 939-1,51000,84.98,14,간석동 939-1
4,간석래미안자이,56000,84.98,22,간석동 939-1,50000,84.97,8,간석동 939-1
5,간석래미안자이,56000,84.98,22,간석동 939-1,51500,84.97,23,간석동 939-1
6,간석래미안자이,56000,84.98,22,간석동 939-1,55000,84.98,20,간석동 939-1
7,간석래미안자이,56000,84.98,22,간석동 939-1,54500,84.97,12,간석동 939-1
8,관교한신휴플러스,36000,84.75,2,주안동 1621,39000,84.95,17,주안동 1621
9,관교한신휴플러스,36000,84.75,2,주안동 1621,35500,84.75,4,주안동 1621
10,관교한신휴플러스,36000,84.75,2,주안동 1621,36000,84.75,7,주안동 1621
11,관교한신휴플러스,36000,84.75,2,주안동 1621,37000,84.95,4,주안동 1621
12,관교한신휴플러스,36000,84.75,2,주안동 1621,35500,84.75,11,주안동 1621
13,관교한신휴플러스,36000,84.75,2,주안동 1621,36600,84.75,13,주안동 1621
14,구월아시아드선수촌센트럴자이,50000,84.94,12,구월동 1510,59000,84.94,27,구월동 1510
15,구월유승한내들퍼스티지,50000,84.35,9,구월동 1508,56500,84.26,9,구월동 1508
16,구월유승한내들퍼스티지,50000,84.35,9,구월동 1508,58500,84.35,19,구월동 1508
17,구월유승한내들퍼스티지,50000,84.35,9,구월동 1508,56000,84.35,14,구월동 1508
18,구월유승한내들퍼스티지,49000,84.35,16,구월동 1508,56500,84.26,9,구월동 1508
19,구월유승한내들퍼스티지,49000,84.35,16,구월동 1508,58500,84.35,19,구월동 1508
20,구월유승한내들퍼스티지,49000,84.35,16,구월동 1508,56000,84.35,14,구월동 1508
21,구월유승한내들퍼스티지,48500,84.35,12,구월동 1508,56500,84.26,9,구월동 1508
22,구월유승한내들퍼스티지,48500,84.35,12,구월동 1508,58500,84.35,19,구월동 1508
23,구월유승한내들퍼스티지,48500,84.35,12,구월동 1508,56000,84.35,14,구월동 1508
24,구월힐스테이트1단지,41600,84.81,7,구월동 23,47500,84.81,16,구월동 23
25,구월힐스테이트1단지,41600,84.81,7,구월동 23,48000,84.81,6,구월동 23
26,구월힐스테이트1단지,41600,84.81,7,구월동 23,48200,84.81,12,구월동 23
27,구월힐스테이트1단지,41600,84.81,7,구월동 23,45000,84.81,3,구월동 23
28,구월힐스테이트1단지,41600,84.81,7,구월동 23,48450,84.81,18,구월동 23
29,구월힐스테이트1단지,35500,84.81,3,구월동 23,47500,84.81,16,구월동 23
30,구월힐스테이트1단지,35500,84.81,3,구월동 23,48000,84.81,6,구월동 23
31,구월힐스테이트1단지,35500,84.81,3,구월동 23,48200,84.81,12,구월동 23
32,구월힐스테이트1단지,35500,84.81,3,구월동 23,45000,84.81,3,구월동 23
33,구월힐스테이트1단지,35500,84.81,3,구월동 23,48450,84.81,18,구월동 23
34,구월힐스테이트1단지,43000,84.81,26,구월동 23,47500,84.81,16,구월동 23
35,구월힐스테이트1단지,43000,84.81,26,구월동 23,48000,84.81,6,구월동 23
36,구월힐스테이트1단지,43000,84.81,26,구월동 23,48200,84.81,12,구월동 23
37,구월힐스테이트1단지,43000,84.81,26,구월동 23,45000,84.81,3,구월동 23
38,구월힐스테이트1단지,43000,84.81,26,구월동 23,48450,84.81,18,구월동 23
39,구월힐스테이트1단지,43500,84.81,19,구월동 23,47500,84.81,16,구월동 23
40,구월힐스테이트1단지,43500,84.81,19,구월동 23,48000,84.81,6,구월동 23
41,구월힐스테이트1단지,43500,84.81,19,구월동 23,48200,84.81,12,구월동 23
42,구월힐스테이트1단지,43500,84.81,19,구월동 23,45000,84.81,3,구월동 23
43,구월힐스테이트1단지,43500,84.81,19,구월동 23,48450,84.81,18,구월동 23
44,구월힐스테이트1단지,47200,84.81,21,구월동 23,47500,84.81,16,구월동 23
45,구월힐스테이트1단지,47200,84.81,21,구월동 23,48000,84.81,6,구월동 23
46,구월힐스테이트1단지,47200,84.81,21,구월동 23,48200,84.81,12,구월동 23
47,구월힐스테이트1단지,47200,84.81,21,구월동 23,45000,84.81,3,구월동 23
48,구월힐스테이트1단지,47200,84.81,21,구월동 23,48450,84.81,18,구월동 23
49,구월힐스테이트3단지,41200,84.81,18,구월동 20,43700,84.81,16,구월동 20
50,구월힐스테이트3단지,41200,84.81,18,구월동 20,40700,84.81,1,구월동 20
51,금호타운,29300,84.29,10,용현동 627-40,26900,84.29,6,용현동 627-40
52,금호타운,29300,84.29,10,용현동 627-40,27000,84.29,8,용현동 627-40
53,남촌풍림2차,28800,84.84,9,남촌동 391-3,30250,84.84,7,남촌동 391-3
54,남촌풍림2차,28800,84.84,9,남촌동 391-3,26000,84.84,12,남촌동 391-3
55,논현파크포레,47000,84.88,22,논현동 580-1,41000,84.94,24,논현동 580-1
56,논현파크포레,47000,84.88,22,논현동 580-1,38500,84.93,16,논현동 580-1
57,논현파크포레,47000,84.88,22,논현동 580-1,40000,84.94,22,논현동 580-1
58,논현파크포레,47000,84.88,22,논현동 580-1,40500,84.94,23,논현동 580-1
59,논현파크포레,47000,84.88,22,논현동 580-1,40000,84.88,2,논현동 580-1
60,논현파크포레,47000,84.88,22,논현동 580-1,39000,84.88,10,논현동 580-1
61,논현파크포레,36000,84.94,10,논현동 580-1,41000,84.94,24,논현동 580-1
62,논현파크포레,36000,84.94,10,논현동 580-1,38500,84.93,16,논현동 580-1
63,논현파크포레,36000,84.94,10,논현동 580-1,40000,84.94,22,논현동 580-1
64,논현파크포레,36000,84.94,10,논현동 580-1,40500,84.94,23,논현동 580-1
65,논현파크포레,36000,84.94,10,논현동 580-1,40000,84.88,2,논현동 580-1
66,논현파크포레,36000,84.94,10,논현동 580-1,39000,84.88,10,논현동 580-1
67,논현파크포레,35000,84.88,2,논현동 580-1,41000,84.94,24,논현동 580-1
68,논현파크포레,35000,84.88,2,논현동 580-1,38500,84.93,16,논현동 580-1
69,논현파크포레,35000,84.88,2,논현동 580-1,40000,84.94,22,논현동 580-1
70,논현파크포레,35000,84.88,2,논현동 580-1,40500,84.94,23,논현동 580-1
71,논현파크포레,35000,84.88,2,논현동 580-1,40000,84.88,2,논현동 580-1
72,논현파크포레,35000,84.88,2,논현동 580-1,39000,84.88,10,논현동 580-1
73,논현파크포레,38000,84.94,6,논현동 580-1,41000,84.94,24,논현동 580-1
74,논현파크포레,38000,84.94,6,논현동 580-1,38500,84.93,16,논현동 580-1
75,논현파크포레,38000,84.94,6,논현동 580-1,40000,84.94,22,논현동 580-1
76,논현파크포레,38000,84.94,6,논현동 580-1,40500,84.94,23,논현동 580-1
77,논현파크포레,38000,84.94,6,논현동 580-1,40000,84.88,2,논현동 580-1
78,논현파크포레,38000,84.94,6,논현동 580-1,39000,84.88,10,논현동 580-1
79,논현파크포레,40000,84.93,14,논현동 580-1,41000,84.94,24,논현동 580-1
80,논현파크포레,40000,84.93,14,논현동 580-1,38500,84.93,16,논현동 580-1
81,논현파크포레,40000,84.93,14,논현동 580-1,40000,84.94,22,논현동 580-1
82,논현파크포레,40000,84.93,14,논현동 580-1,40500,84.94,23,논현동 580-1
83,논현파크포레,40000,84.93,14,논현동 580-1,40000,84.88,2,논현동 580-1
84,논현파크포레,40000,84.93,14,논현동 580-1,39000,84.88,10,논현동 580-1
85,대림,26000,84.92,4,용현동 627-79,27500,84.92,7,용현동 627-79
86,대림,26000,84.92,4,용현동 627-79,28000,84.92,12,용현동 627-79
87,대림,26000,84.92,4,용현동 627-79,25000,84.92,6,용현동 627-79
88,대림,26000,84.92,4,용현동 627-79,26900,84.92,13,용현동 627-79
89,대성유니드별빛마을,29500,84.35,1,만수동 844-1,31700,84.35,17,만수동 844-1
90,더샵인천스카이타워1단지,47000,84.94,10,도화동 1011,55000,84.98,34,도화동 1011
91,더샵인천스카이타워1단지,47000,84.94,10,도화동 1011,54000,84.94,30,도화동 1011
92,더샵인천스카이타워1단지,47000,84.94,10,도화동 1011,56500,84.94,45,도화동 1011
93,더샵인천스카이타워1단지,47000,84.94,10,도화동 1011,52200,84.94,38,도화동 1011
94,더샵인천스카이타워1단지,47000,84.94,10,도화동 1011,53800,84.94,14,도화동 1011
95,더샵인천스카이타워1단지,50000,84.94,47,도화동 1011,55000,84.98,34,도화동 1011
96,더샵인천스카이타워1단지,50000,84.94,47,도화동 1011,54000,84.94,30,도화동 1011
97,더샵인천스카이타워1단지,50000,84.94,47,도화동 1011,56500,84.94,45,도화동 1011
98,더샵인천스카이타워1단지,50000,84.94,47,도화동 1011,52200,84.94,38,도화동 1011
99,더샵인천스카이타워1단지,50000,84.94,47,도화동 1011,53800,84.94,14,도화동 1011
100,더샵인천스카이타워1단지,49800,84.98,28,도화동 1011,55000,84.98,34,도화동 1011
101,더샵인천스카이타워1단지,49800,84.98,28,도화동 1011,54000,84.94,30,도화동 1011
102,더샵인천스카이타워1단지,49800,84.98,28,도화동 1011,56500,84.94,45,도화동 1011
103,더샵인천스카이타워1단지,49800,84.98,28,도화동 1011,52200,84.94,38,도화동 1011
104,더샵인천스카이타워1단지,49800,84.98,28,도화동 1011,53800,84.94,14,도화동 1011
105,더샵인천스카이타워1단지,43000,84.94,2,도화동 1011,55000,84.98,34,도화동 1011
106,더샵인천스카이타워1단지,43000,84.94,2,도화동 1011,54000,84.94,30,도화동 1011
107,더샵인천스카이타워1단지,43000,84.94,2,도화동 1011,56500,84.94,45,도화동 1011
108,더샵인천스카이타워1단지,43000,84.94,2,도화동 1011,52200,84.94,38,도화동 1011
109,더샵인천스카이타워1단지,43000,84.94,2,도화동 1011,53800,84.94,14,도화동 1011
110,도화동신동아파밀리에,30000,84.69,1,도화동 982,29900,84.69,24,도화동 982
111,도화동신동아파밀리에,30000,84.69,1,도화동 982,30000,84.69,20,도화동 982
112,동부(관교동부),34900,84.88,2,관교동 13-11,35800,84.88,4,관교동 13-11
